section id,recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
3cb3853b-6aad-4e85-b17a-b6ec83a3ea61,831783b3-db8c-4694-ab40-000b7073cdd4,1,1.734597171692561e+18,1.734597171924491e+18,232,271.6578217857023,20.393875286194177,2813.156113023289,9830.708495091414
3cb3853b-6aad-4e85-b17a-b6ec83a3ea61,831783b3-db8c-4694-ab40-000b7073cdd4,2,1.734597172032534e+18,1.734597172072524e+18,40,52.084515497947336,3.901532842356201,1625.354394834762,2056.342784259964
3cb3853b-6aad-4e85-b17a-b6ec83a3ea61,831783b3-db8c-4694-ab40-000b7073cdd4,3,1.734597172244566e+18,1.734597172296511e+18,52,196.83651929020252,14.73152533769508,3987.6771398882547,6392.761720330726
3cb3853b-6aad-4e85-b17a-b6ec83a3ea61,831783b3-db8c-4694-ab40-000b7073cdd4,4,1.734597173564584e+18,1.73459717360451e+18,40,108.01915727961591,8.038110480141984,2747.5884553490177,3868.6764363974457
3cb3853b-6aad-4e85-b17a-b6ec83a3ea61,831783b3-db8c-4694-ab40-000b7073cdd4,5,1.7345971737605908e+18,1.73459717380055e+18,40,112.37327980603064,8.357334777245299,2850.934744088734,4250.84683235911
3cb3853b-6aad-4e85-b17a-b6ec83a3ea61,831783b3-db8c-4694-ab40-000b7073cdd4,6,1.734597174088543e+18,1.734597174112576e+18,24,32.25630160073691,2.4034294587530503,1303.5463302255614,1528.012846158104
3cb3853b-6aad-4e85-b17a-b6ec83a3ea61,831783b3-db8c-4694-ab40-000b7073cdd4,7,1.734597174712522e+18,1.7345971747445158e+18,32,59.537569472794154,4.431379361028334,1743.9574010404926,2245.217591012382
3cb3853b-6aad-4e85-b17a-b6ec83a3ea61,831783b3-db8c-4694-ab40-000b7073cdd4,8,1.734597175340757e+18,1.734597175372576e+18,32,78.74077370474969,5.857669710735228,2312.612338826283,2978.4223607031554
3cb3853b-6aad-4e85-b17a-b6ec83a3ea61,831783b3-db8c-4694-ab40-000b7073cdd4,9,1.73459717558053e+18,1.734597175712531e+18,132,120.25688163735039,8.964838627316329,3348.4931409354313,7371.846964675062
3cb3853b-6aad-4e85-b17a-b6ec83a3ea61,831783b3-db8c-4694-ab40-000b7073cdd4,10,1.734597179152872e+18,1.734597179360542e+18,208,236.50632419476614,17.60479024219241,3544.2409747006895,8635.60544174734
3cb3853b-6aad-4e85-b17a-b6ec83a3ea61,831783b3-db8c-4694-ab40-000b7073cdd4,11,1.734597179532609e+18,1.7345971795645908e+18,32,38.88943977682442,2.8937991055745638,1438.106590920248,1785.9622458900697
3cb3853b-6aad-4e85-b17a-b6ec83a3ea61,831783b3-db8c-4694-ab40-000b7073cdd4,12,1.734597179924566e+18,1.7345971799646758e+18,40,112.97208063699415,8.419308009614072,2876.5453427189,4224.206749401595
3cb3853b-6aad-4e85-b17a-b6ec83a3ea61,831783b3-db8c-4694-ab40-000b7073cdd4,13,1.7345971804205158e+18,1.734597180468515e+18,48,181.99616290023826,13.570042118438625,3753.5471134988925,5700.182740659874
