blink id,start timestamp [ns],end timestamp [ns],duration [ms],trial_id,trial_type
29,1734597222244577949,1734597222620608949,376,1.0,noisy
30,1734597226496774949,1734597226724595949,228,1.0,noisy
31,1734597226732587949,1734597227188562949,456,1.0,noisy
32,1734597231756608949,1734597232156561949,400,1.0,noisy
33,1734597232820529949,1734597233240535949,420,1.0,noisy
34,1734597233436553949,1734597233880511949,444,1.0,noisy
35,1734597239336513949,1734597239728577949,392,1.0,noisy
36,1734597241520495949,1734597241912588949,392,1.0,noisy
37,1734597242152834949,1734597242548518949,396,1.0,noisy
38,1734597245732557949,1734597246160613949,428,1.0,noisy
39,1734597246592514949,1734597247032716949,440,1.0,noisy
40,1734597252448688949,1734597252884979949,436,1.0,noisy
41,1734597255256520949,1734597255688610949,432,1.0,noisy
42,1734597258428499949,1734597258848601949,420,1.0,noisy
43,1734597265220527949,1734597265628525949,408,1.0,noisy
44,1734597268464762949,1734597268896606949,432,1.0,noisy
45,1734597271124602949,1734597271540672949,416,1.0,noisy
46,1734597274036657949,1734597274484527949,448,1.0,noisy
47,1734597280020510949,1734597280440584949,420,1.0,noisy
48,1734597283904563949,1734597284352517949,448,1.0,noisy
49,1734597289372516949,1734597289752586949,380,1.0,noisy
50,1734597291456462949,1734597291852506949,396,1.0,noisy
51,1734597291872633949,1734597292336595949,464,1.0,noisy
52,1734597292528534949,1734597292876472949,348,1.0,noisy
53,1734597292884516949,1734597293316485949,432,1.0,noisy
54,1734597293748489949,1734597294152631949,404,1.0,noisy
55,1734597294200505949,1734597294636517949,436,1.0,noisy
56,1734597295940560949,1734597296316669949,376,1.0,noisy
57,1734597298160483949,1734597298588581949,428,1.0,noisy
58,1734597302084516949,1734597302528734949,444,1.0,noisy
59,1734597304276491949,1734597304716628949,440,1.0,noisy
60,1734597307932645949,1734597308336587949,404,1.0,noisy
88,1734597363284578949,1734597363664593949,380,2.0,quiet
89,1734597366044463949,1734597366428869949,384,2.0,quiet
90,1734597369828490949,1734597370280503949,452,2.0,quiet
91,1734597375064539949,1734597375484484949,420,2.0,quiet
92,1734597379256500949,1734597379696541949,440,2.0,quiet
93,1734597381548487949,1734597381964499949,416,2.0,quiet
94,1734597383664541949,1734597384088626949,424,2.0,quiet
95,1734597384456513949,1734597384872771949,416,2.0,quiet
96,1734597389232506949,1734597389648585949,416,2.0,quiet
97,1734597395612665949,1734597395984529949,372,2.0,quiet
98,1734597403552505949,1734597403968649949,416,2.0,quiet
99,1734597404572606949,1734597405020490949,448,2.0,quiet
100,1734597405660599949,1734597406040572949,380,2.0,quiet
101,1734597407376513949,1734597407808551949,432,2.0,quiet
102,1734597409812505949,1734597410304511949,492,2.0,quiet
103,1734597414096643949,1734597414396497949,300,2.0,quiet
104,1734597415272472949,1734597415676496949,404,2.0,quiet
105,1734597416080768949,1734597416424487949,344,2.0,quiet
106,1734597424044487949,1734597424424503949,380,2.0,quiet
107,1734597425424814949,1734597425856513949,432,2.0,quiet
108,1734597428280498949,1734597428640489949,360,2.0,quiet
109,1734597428836507949,1734597429256484949,420,2.0,quiet
110,1734597431500601949,1734597431996569949,496,2.0,quiet
111,1734597434096519949,1734597434508659949,412,2.0,quiet
112,1734597436084615949,1734597436516913949,432,2.0,quiet
113,1734597438072577949,1734597438456600949,384,2.0,quiet
114,1734597444036592949,1734597444372522949,336,2.0,quiet
115,1734597446972545949,1734597447384519949,412,2.0,quiet
116,1734597451060595949,1734597451592508949,532,2.0,quiet
117,1734597453668538949,1734597454060536949,392,2.0,quiet
118,1734597454552482949,1734597454904503949,352,2.0,quiet
133,1734597488508835949,1734597489036476949,528,3.0,noisy
134,1734597491088502949,1734597491424494949,336,3.0,noisy
135,1734597494016593949,1734597494456598949,440,3.0,noisy
136,1734597495544529949,1734597495944560949,400,3.0,noisy
137,1734597496924509949,1734597497384893949,460,3.0,noisy
138,1734597500604542949,1734597501144612949,540,3.0,noisy
139,1734597502676784949,1734597503056550949,380,3.0,noisy
140,1734597504296466949,1734597504700495949,404,3.0,noisy
141,1734597507688637949,1734597508068542949,380,3.0,noisy
142,1734597509116540949,1734597509516632949,400,3.0,noisy
143,1734597512084580949,1734597512460493949,376,3.0,noisy
144,1734597513932570949,1734597514332506949,400,3.0,noisy
145,1734597516016492949,1734597516344718949,328,3.0,noisy
146,1734597517836555949,1734597518284476949,448,3.0,noisy
147,1734597521276832949,1734597521680483949,404,3.0,noisy
148,1734597529908562949,1734597530340531949,432,3.0,noisy
149,1734597532760633949,1734597533096753949,336,3.0,noisy
150,1734597534936534949,1734597535368883949,432,3.0,noisy
151,1734597536788634949,1734597537152470949,364,3.0,noisy
152,1734597540368513949,1734597540792595949,424,3.0,noisy
153,1734597542948630949,1734597543356487949,408,3.0,noisy
154,1734597545512558949,1734597545980522949,468,3.0,noisy
155,1734597547696551949,1734597548136497949,440,3.0,noisy
156,1734597549844473949,1734597550216540949,372,3.0,noisy
157,1734597551240502949,1734597551672495949,432,3.0,noisy
158,1734597555860945949,1734597556268469949,408,3.0,noisy
159,1734597557288570949,1734597557736503949,448,3.0,noisy
160,1734597559956650949,1734597560472499949,516,3.0,noisy
161,1734597566872491949,1734597567272472949,400,3.0,noisy
162,1734597570300561949,1734597570740489949,440,3.0,noisy
163,1734597572180498949,1734597572604496949,424,3.0,noisy
164,1734597574916557949,1734597575312510949,396,3.0,noisy
165,1734597576736525949,1734597577084495949,348,3.0,noisy
166,1734597577952495949,1734597578340511949,388,3.0,noisy
167,1734597581220477949,1734597581612488949,392,3.0,noisy
168,1734597582076491949,1734597582456551949,380,3.0,noisy
169,1734597583476506949,1734597583900527949,424,3.0,noisy
184,1734597628736554949,1734597629232503949,496,4.0,noisy
185,1734597631344483949,1734597631792518949,448,4.0,noisy
186,1734597640236482949,1734597640676499949,440,4.0,noisy
187,1734597643396525949,1734597643712510949,316,4.0,noisy
188,1734597649368656949,1734597649748515949,380,4.0,noisy
189,1734597661920522949,1734597662380496949,460,4.0,noisy
190,1734597665852539949,1734597666176620949,324,4.0,noisy
191,1734597679012586949,1734597679440479949,428,4.0,noisy
192,1734597679536493949,1734597680004557949,468,4.0,noisy
193,1734597680980493949,1734597681488553949,508,4.0,noisy
194,1734597684724487949,1734597685152478949,428,4.0,noisy
195,1734597686408614949,1734597686852629949,444,4.0,noisy
196,1734597688972514949,1734597689384578949,412,4.0,noisy
197,1734597691436668949,1734597691860598949,424,4.0,noisy
198,1734597695620487949,1734597696032499949,412,4.0,noisy
199,1734597697332513949,1734597697740551949,408,4.0,noisy
200,1734597699136543949,1734597699592544949,456,4.0,noisy
201,1734597700336588949,1734597700808573949,472,4.0,noisy
202,1734597703672495949,1734597704096573949,424,4.0,noisy
203,1734597707156500949,1734597707576480949,420,4.0,noisy
215,1734597742460515949,1734597742904511949,444,5.0,quiet
216,1734597745896475949,1734597746348642949,452,5.0,quiet
217,1734597747764511949,1734597748208611949,444,5.0,quiet
218,1734597749808753949,1734597750268489949,460,5.0,quiet
219,1734597755800585949,1734597756256483949,456,5.0,quiet
220,1734597757348794949,1734597757752516949,404,5.0,quiet
221,1734597762112482949,1734597762548553949,436,5.0,quiet
222,1734597763528575949,1734597763956489949,428,5.0,quiet
223,1734597768192642949,1734597768508596949,316,5.0,quiet
224,1734597770120591949,1734597770584487949,464,5.0,quiet
225,1734597774560548949,1734597774988513949,428,5.0,quiet
226,1734597776600580949,1734597776964491949,364,5.0,quiet
227,1734597777236477949,1734597777656582949,420,5.0,quiet
228,1734597779016558949,1734597779416507949,400,5.0,quiet
229,1734597783200627949,1734597783784512949,584,5.0,quiet
230,1734597784592582949,1734597784996593949,404,5.0,quiet
231,1734597785028915949,1734597785452487949,424,5.0,quiet
232,1734597786436475949,1734597786800468949,364,5.0,quiet
233,1734597787640508949,1734597788036492949,396,5.0,quiet
234,1734597788816489949,1734597789212614949,396,5.0,quiet
235,1734597795908550949,1734597796324484949,416,5.0,quiet
236,1734597805400476949,1734597805840478949,440,5.0,quiet
237,1734597809104530949,1734597809476548949,372,5.0,quiet
238,1734597811516515949,1734597811864503949,348,5.0,quiet
239,1734597811868497949,1734597812264544949,396,5.0,quiet
240,1734597812524573949,1734597812928850949,404,5.0,quiet
241,1734597815709556949,1734597816128626949,419,5.0,quiet
242,1734597816944622949,1734597817360596949,416,5.0,quiet
243,1734597820820892949,1734597821264468949,444,5.0,quiet
244,1734597824356472949,1734597824704772949,348,5.0,quiet
245,1734597827208518949,1734597827604482949,396,5.0,quiet
246,1734597828296505949,1734597828696495949,400,5.0,quiet
247,1734597830932501949,1734597831280718949,348,5.0,quiet
262,1734597864556527949,1734597865016483949,460,6.0,quiet
263,1734597884148544949,1734597884540481949,392,6.0,quiet
264,1734597898436494949,1734597898776533949,340,6.0,quiet
265,1734597898800492949,1734597899212550949,412,6.0,quiet
266,1734597899616568949,1734597900048567949,432,6.0,quiet
267,1734597900428684949,1734597900924494949,496,6.0,quiet
268,1734597901996543949,1734597902461160949,465,6.0,quiet
269,1734597904504511949,1734597904908514949,404,6.0,quiet
270,1734597906772599949,1734597907188466949,416,6.0,quiet
271,1734597909713148949,1734597910136599949,423,6.0,quiet
272,1734597913356490949,1734597913788515949,432,6.0,quiet
273,1734597918020483949,1734597918468583949,448,6.0,quiet
274,1734597923192495949,1734597923580556949,388,6.0,quiet
275,1734597926676574949,1734597927108858949,432,6.0,quiet
276,1734597934372589949,1734597934788787949,416,6.0,quiet
277,1734597940112621949,1734597940532475949,420,6.0,quiet
278,1734597952924675949,1734597953264533949,340,6.0,quiet
279,1734597954120630949,1734597954541051949,420,6.0,quiet
280,1734597955932559949,1734597956340484949,408,6.0,quiet
292,1734597986696521949,1734597987116491949,420,7.0,noisy
293,1734597987800508949,1734597988160489949,360,7.0,noisy
294,1734597989260511949,1734597989664503949,404,7.0,noisy
295,1734597991504537949,1734597991988639949,484,7.0,noisy
296,1734597993212605949,1734597993644488949,432,7.0,noisy
297,1734597995344483949,1734597995788546949,444,7.0,noisy
298,1734597998048599949,1734597998488493949,440,7.0,noisy
299,1734598007228811949,1734598007620464949,392,7.0,noisy
300,1734598008484519949,1734598008884498949,400,7.0,noisy
301,1734598012968591949,1734598013380495949,412,7.0,noisy
302,1734598014632526949,1734598015024499949,392,7.0,noisy
303,1734598015340602949,1734598015760578949,420,7.0,noisy
304,1734598019528816949,1734598020000567949,472,7.0,noisy
305,1734598028616544949,1734598029044478949,428,7.0,noisy
306,1734598033780504949,1734598034160519949,380,7.0,noisy
307,1734598035796558949,1734598036292505949,496,7.0,noisy
308,1734598039232485949,1734598039680462949,448,7.0,noisy
309,1734598040452500949,1734598040896576949,444,7.0,noisy
310,1734598041692503949,1734598042100488949,408,7.0,noisy
311,1734598042320565949,1734598042800679949,480,7.0,noisy
312,1734598043732523949,1734598044160625949,428,7.0,noisy
313,1734598044592759949,1734598045024457949,432,7.0,noisy
314,1734598045724543949,1734598046176494949,452,7.0,noisy
315,1734598048716588949,1734598049108655949,392,7.0,noisy
316,1734598050080630949,1734598050552472949,472,7.0,noisy
317,1734598051080461949,1734598051560517949,480,7.0,noisy
318,1734598051568591949,1734598051972479949,404,7.0,noisy
319,1734598052732780949,1734598053144488949,412,7.0,noisy
320,1734598053884498949,1734598054420510949,536,7.0,noisy
321,1734598054952503949,1734598055412565949,460,7.0,noisy
322,1734598056132589949,1734598056612517949,480,7.0,noisy
323,1734598059449486949,1734598059896540949,447,7.0,noisy
324,1734598063764501949,1734598064164483949,400,7.0,noisy
325,1734598066828582949,1734598067248672949,420,7.0,noisy
326,1734598069116507949,1734598069496488949,380,7.0,noisy
327,1734598073920546949,1734598074332483949,412,7.0,noisy
328,1734598075732572949,1734598076112567949,380,7.0,noisy
329,1734598080336489949,1734598080756575949,420,7.0,noisy
330,1734598086972561949,1734598087368595949,396,7.0,noisy
341,1734598140132581949,1734598140552509949,420,8.0,quiet
342,1734598143164519949,1734598143628518949,464,8.0,quiet
343,1734598146120736949,1734598146544509949,424,8.0,quiet
344,1734598149248621949,1734598149576485949,328,8.0,quiet
345,1734598155988492949,1734598156392498949,404,8.0,quiet
346,1734598160164488949,1734598160552503949,388,8.0,quiet
347,1734598165792640949,1734598166172570949,380,8.0,quiet
348,1734598167356535949,1734598167768652949,412,8.0,quiet
349,1734598170460505949,1734598170896544949,436,8.0,quiet
350,1734598174360648949,1734598174824487949,464,8.0,quiet
351,1734598194948645949,1734598195356630949,408,8.0,quiet
352,1734598198992513949,1734598199440479949,448,8.0,quiet
353,1734598201116571949,1734598201552526949,436,8.0,quiet
354,1734598202844487949,1734598203244541949,400,8.0,quiet
355,1734598205532953949,1734598205964487949,432,8.0,quiet
356,1734598207972515949,1734598208396488949,424,8.0,quiet
357,1734598212452490949,1734598212908606949,456,8.0,quiet
358,1734598214068526949,1734598214516552949,448,8.0,quiet
359,1734598214948576949,1734598215384495949,436,8.0,quiet
360,1734598219436478949,1734598219900512949,464,8.0,quiet
370,1734598252264590949,1734598252728572949,464,9.0,noisy
371,1734598255572654949,1734598255912500949,340,9.0,noisy
372,1734598259528755949,1734598259928577949,400,9.0,noisy
373,1734598261272493949,1734598261860519949,588,9.0,noisy
374,1734598263296498949,1734598263728501949,432,9.0,noisy
375,1734598275364513949,1734598275744522949,380,9.0,noisy
