fixation id,start timestamp [ns],end timestamp [ns],fixation on face,trial_id,trial_type
337,1734859256544804316,1734859256697870336,False,1.0,noisy
338,1734859256716913316,1734859256981808128,False,1.0,noisy
339,1734859257256850316,1734859257345912320,False,1.0,noisy
340,1734859257732876316,1734859258793896192,False,1.0,noisy
341,1734859258876742316,1734859259042115328,False,1.0,noisy
342,1734859259092899316,1734859259605841152,False,1.0,noisy
343,1734859259640814316,1734859259885839360,False,1.0,noisy
344,1734859260029831316,1734859260529712128,False,1.0,noisy
345,1734859260548785316,1734859260841800192,False,1.0,noisy
346,1734859260884721316,1734859261165834240,False,1.0,noisy
347,1734859261244725316,1734859261413851136,True,1.0,noisy
348,1734859261605017316,1734859261837791232,False,1.0,noisy
349,1734859261904737316,1734859263365823232,False,1.0,noisy
350,1734859263420909316,1734859263565731328,False,1.0,noisy
351,1734859263800813316,1734859265253850368,False,1.0,noisy
352,1734859265448893316,1734859267285814272,True,1.0,noisy
353,1734859267468801316,1734859268062950144,True,1.0,noisy
354,1734859268304854316,1734859269513896192,True,1.0,noisy
355,1734859269700910316,1734859270153926144,False,1.0,noisy
356,1734859270180790316,1734859270382021376,False,1.0,noisy
357,1734859270436940316,1734859273149747200,False,1.0,noisy
358,1734859273704817316,1734859273765736192,False,1.0,noisy
359,1734859273896821316,1734859273973920256,False,1.0,noisy
360,1734859274336788316,1734859274481873152,False,1.0,noisy
361,1734859274512804316,1734859274585890304,False,1.0,noisy
362,1734859274604877316,1734859274809815296,False,1.0,noisy
363,1734859274877031316,1734859275045792256,False,1.0,noisy
364,1734859275080866316,1734859275141845248,False,1.0,noisy
365,1734859275368851316,1734859275486109184,False,1.0,noisy
366,1734859276304731316,1734859276473825280,False,1.0,noisy
367,1734859277344740316,1734859277442104320,False,1.0,noisy
368,1734859277524789316,1734859277641851136,False,1.0,noisy
369,1734859277660724316,1734859277761829376,False,1.0,noisy
370,1734859278032851316,1734859278157710336,False,1.0,noisy
371,1734859278176845316,1734859278249874176,False,1.0,noisy
372,1734859278541004316,1734859278865728256,False,1.0,noisy
373,1734859278888812316,1734859279086426368,False,1.0,noisy
374,1734859279616835316,1734859279937848320,False,1.0,noisy
375,1734859279976923316,1734859280653717248,False,1.0,noisy
376,1734859280680729316,1734859282582168320,False,1.0,noisy
377,1734859282736823316,1734859283121912320,False,1.0,noisy
