saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s],trial_id,trial_type
239,1734859199732867316,1734859199776837316,44,104.57892227409953,7.848719481352202,2494.5655504178053,3525.69105473474,1.0,noisy
240,1734859200280685316,1734859200612838316,332,57.97410984526843,4.349623724085737,5337.325517103258,10299.246871890178,1.0,noisy
241,1734859200844870316,1734859200896794316,52,118.3323026428428,8.892058455167195,2439.1192008015432,3681.2422364867098,1.0,noisy
242,1734859201048915316,1734859201100993316,52,187.71423697242284,14.099786733293806,3819.755767217423,5908.733034379513,1.0,noisy
243,1734859201424707316,1734859201464870316,40,133.315653798892,9.979195278645944,3413.6878356392217,4843.011076988025,1.0,noisy
244,1734859201762676316,1734859201784838316,22,35.46473223147043,2.6567271715229697,1571.0895714370486,1818.674665663484,1.0,noisy
245,1734859204924856316,1734859204960913316,36,32.2061469759477,2.401929287949492,1132.3354766886284,1337.4160507018653,1.0,noisy
246,1734859205028870316,1734859205572832316,544,64.02705292655368,4.802803540194253,2230.276056228177,5895.071342552764,1.0,noisy
247,1734859205644827316,1734859205664837316,20,26.52914710858862,1.9752428208212949,1588.9290486943464,2032.311380971308,1.0,noisy
248,1734859205836954316,1734859205920845316,84,17.834798096215344,1.329637630027893,1380.0601527822937,2909.2912498724368,1.0,noisy
249,1734859206088815316,1734859206188868316,100,87.8432257718599,6.555734980396057,1162.285220193329,1861.829228306908,1.0,noisy
250,1734859206276720316,1734859206329086316,52,26.07952275951376,1.9576487210756088,1488.4445567379016,2186.295503508785,1.0,noisy
251,1734859206408854316,1734859206500883316,92,80.92510733984025,6.059021609445579,1576.6300890984298,4502.215537509451,1.0,noisy
252,1734859206628855316,1734859206876886316,248,123.07562272393312,9.28123660066209,4189.466762029164,13010.14138651764,1.0,noisy
253,1734859207204791316,1734859207228875316,24,20.692631221239868,1.562548273869871,1076.782641092131,1209.0324326480695,1.0,noisy
254,1734859207548815316,1734859207568799316,20,21.020986780933523,1.5826390224807314,1096.9815271234047,1158.8644019213405,1.0,noisy
255,1734859207753061316,1734859207780858316,28,23.879137106913625,1.794330399404445,1104.797688515437,1322.4259786924124,1.0,noisy
256,1734859208064719316,1734859208132830316,68,175.73223772066777,13.144000651485635,3109.583057745025,5320.154814966921,1.0,noisy
257,1734859208524815316,1734859208576815316,52,95.67686245830065,7.13016557033683,2019.213489130106,2622.6511952842134,1.0,noisy
258,1734859208928825316,1734859209256832316,328,119.59593360884264,8.923356249765803,1327.3514198223802,3408.236543521893,1.0,noisy
259,1734859211256825316,1734859211364822316,108,26.74315038895353,2.0273770987247857,1986.648340320716,3733.510755288502,1.0,noisy
260,1734859213156865316,1734859214496922316,1340,156.57552998242124,11.783294979222148,2651.8773174303115,12030.466634836348,1.0,noisy
261,1734859214576821316,1734859214816827316,240,57.55719301177589,4.336006855841818,1240.976705644994,2846.1216755231712,1.0,noisy
262,1734859214956883316,1734859215344847316,388,120.0342224539537,9.015802957696538,2098.8357366222576,6787.571671670635,1.0,noisy
263,1734859215452856316,1734859215924837316,472,4.290682878182676,0.3235047599557935,3423.770568010404,11352.493628033992,1.0,noisy
264,1734859216004833316,1734859216028862316,24,24.57978926502539,1.832674597751796,1150.4877471131035,1323.135011336915,1.0,noisy
265,1734859216381096316,1734859216644926316,264,126.76662994738128,9.511560727220989,2047.8937920999715,6353.637443448413,1.0,noisy
266,1734859217036858316,1734859217076894316,40,85.22613730191954,6.419365738161418,2214.141712927568,2819.004603194646,1.0,noisy
267,1734859217928825316,1734859217976839316,48,98.00991364357706,7.390218073633442,2069.7761061686874,2910.4250262110686,1.0,noisy
268,1734859218344858316,1734859218484923316,140,207.1824506536153,15.499639235650989,2230.7389442666067,5314.190196953347,1.0,noisy
269,1734859218836890316,1734859218876896316,40,146.0339271069635,10.888927803430091,3363.9971095084406,4828.830782167642,1.0,noisy
270,1734859219064746316,1734859219188839316,124,115.15655098801408,8.631974457518181,1422.0254014556913,3357.2891080011973,1.0,noisy
271,1734859219405021316,1734859219956744316,552,112.14268104153184,8.473340656393448,4098.2708454001295,15706.357060551423,1.0,noisy
272,1734859220384837316,1734859220408839316,24,26.801745712295546,2.0213266389608897,1158.5067222319517,1286.172696865131,1.0,noisy
273,1734859220832801316,1734859220876905316,44,91.66808860508684,6.910918727184463,2100.245282414688,2944.1730871933937,1.0,noisy
274,1734859221092846316,1734859221116812316,24,34.456410437080784,2.595725285810908,1532.1873498694688,1876.609371292326,1.0,noisy
275,1734859221356900316,1734859221388863316,32,32.50137287654905,2.4456575402964766,1179.715839938144,1429.8717331768676,1.0,noisy
276,1734859221648827316,1734859221800952316,152,209.67050439363928,15.79920609193493,2956.8756621142284,6412.490396024805,1.0,noisy
277,1734859222008735316,1734859222036845316,28,27.80914734118309,2.068697287239973,1029.4135202913772,1101.361126307272,1.0,noisy
278,1734859222557134316,1734859222616833316,60,217.053984143536,16.27739417357606,3824.829056727727,5704.100310166935,1.0,noisy
279,1734859222893005316,1734859222912868316,20,21.31041758571984,1.5975115397373607,1185.699290694925,1388.8952282268388,1.0,noisy
280,1734859223204798316,1734859223232859316,28,59.63935797328959,4.461169663573923,2141.537496751097,2595.07709902771,1.0,noisy
281,1734859223644729316,1734859223709028316,64,155.87996793340278,11.670011808135731,2491.288518486988,3874.813820903033,1.0,noisy
282,1734859223860845316,1734859223904808316,44,85.03581733669007,6.386085908505294,2027.009054432344,2733.14211288914,1.0,noisy
