recording id,timestamp [ns],name,type
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732933934984000000,recording.begin,recording
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732933953370550000,start-1-dist,cloud
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732934046088980000,end-1,cloud
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732934077887511000,start-2,cloud
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732934172904172000,end-2,cloud
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732934198777144000,start-3-dist,cloud
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732934299496356000,end-3,cloud
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732934331207924000,start-4-dist,cloud
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732934421627971000,end-4,cloud
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732934455516700000,start-5,cloud
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732934548860160000,end-5,cloud
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732934570554336000,start-6,cloud
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732934665234198000,end-6,cloud
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732934686553155000,start-7-dist,cloud
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732934788225503000,end-7,cloud
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732934821315509000,start-8,cloud
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732934921102850000,end-8,cloud
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732934947736545000,start-9-dist,cloud
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732935048912462000,end-9,cloud
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732935087334089000,start-10,cloud
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732935186142271000,end-10,cloud
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732935211426142000,start-11-dist,cloud
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732935305125740000,end-11,cloud
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732935328819435000,start-12,cloud
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732935482005843000,end-12,cloud
ae30e625-5b46-400f-a958-2a3bd3e0dc91,1732935516240000000,recording.end,recording
