section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,31,1734335863130158649,1734335863363174656,233,262.097,907.181,-20.61299635027723,-27.953010097082778
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,32,1734335863390143649,1734335863759294464,369,246.11,903.24,-21.892203936873305,-27.595095237042447
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,33,1734335863958554649,1734335864091186688,133,401.449,202.573,-8.896612736108816,24.65612087141531
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,34,1734335864162118649,1734335864307300608,145,368.197,121.422,-12.073861779851411,30.741802274865694
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,35,1734335864346157649,1734335864495014656,149,346.127,72.124,-14.382593816923137,34.43647292336865
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,36,1734335864722122649,1734335864887133696,165,462.325,274.681,-3.8769904967302966,19.266902350645964
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,37,1734335864938295649,1734335865227187712,289,604.054,321.524,7.140482737470607,15.697677116759387
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,38,1734335865270158649,1734335865471143680,201,596.537,234.249,6.7357444769493044,22.28224141002667
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,39,1734335865522127649,1734335865727119616,205,708.135,254.71,15.483907192213662,20.5451456962484
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,40,1734335865794037649,1734335865931142656,137,766.74,140.454,21.12304562339948,28.88454639039817
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,41,1734335865962115649,1734335866091147520,129,749.908,132.227,19.81641620405546,29.571066664040362
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,42,1734335866154245649,1734335866483053568,329,608.632,8.649,8.7574608883658,39.49224848953644
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,43,1734335866914162649,1734335866983138560,69,544.434,437.344,2.482671718186791,7.002960010152773
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,44,1734335867050205649,1734335867163098624,113,450.186,365.948,-4.713334810324524,12.378290109891893
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,45,1734335867214344649,1734335867619186688,405,209.723,349.078,-23.26461250546862,13.327560751154977
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,46,1734335867746051649,1734335868087141632,341,-66.461,528.207,-44.19868765986222,0.157809632916874
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,47,1734335868210093649,1734335868415424512,205,473.801,232.455,-3.024257883404308,22.46385791738367
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,48,1734335868450131649,1734335868591158528,141,514.179,194.133,0.18897313340555302,25.374478555397488
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,49,1734335868642167649,1734335868787106560,145,619.971,268.239,8.497521408973315,19.690790498447438
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,50,1734335868890152649,1734335869023124480,133,507.546,807.345,-0.3339627996737184,-20.886553646960017
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,51,1734335869066138649,1734335869255183616,189,556.974,884.853,3.6738175555120214,-26.728043464906882
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,52,1734335869442311649,1734335869671134464,229,447.441,220.987,-5.14708060381256,23.315624143027634
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,53,1734335869714121649,1734335870083168512,369,513.637,262.776,0.14715161981494215,20.17712778540217
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,54,1734335870114057649,1734335870303107584,189,487.064,243.954,-1.9591411712409044,21.598323054668494
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,55,1734335870362071649,1734335870635233536,273,420.202,150.43,-7.576477467124326,28.636474055821026
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,56,1734335870670355649,1734335870887096576,217,357.656,150.806,-12.746856310862256,28.486748677547023
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,57,1734335871066145649,1734335875339122688,4273,14.425,439.81,-37.999338961600536,6.393409224034064
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,58,1734335875370132649,1734335877371235584,2001,29.092,428.129,-36.898955871338025,7.243778009423523
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,59,1734335877402242649,1734335877571223552,169,46.328,458.112,-35.43790383699786,5.140739875669928
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,60,1734335877602141649,1734335879639221504,2037,28.021,415.994,-37.04177022532796,8.101272759092232
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,61,1734335879670135649,1734335880407131648,737,9.254,428.584,-38.456064667325215,7.176312294588899
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,62,1734335880606325649,1734335880867025664,261,593.959,258.432,6.476191600001291,20.46018495030217
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,63,1734335880906122649,1734335881031132672,125,703.054,319.112,14.798634750823075,15.747191148010101
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,64,1734335881214038649,1734335881283239680,69,1028.775,343.766,39.91955711240485,13.057501488563318
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,65,1734335881506219649,1734335881627323648,121,959.5,328.051,34.624025135724246,14.410861452766108
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,66,1734335881734158649,1734335881883139584,149,884.239,777.035,29.095802954207944,-17.858539525585982
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,67,1734335881922147649,1734335883059180544,1137,907.055,750.728,30.660304604804427,-15.876507308390611
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,68,1734335883094140649,1734335883307135488,213,890.0,772.878,29.51157263576884,-17.536346258404947
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,69,1734335883330222649,1734335883539166464,209,913.044,765.365,31.25218747923342,-16.908043745474615
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,70,1734335883570316649,1734335884095114496,525,905.695,794.368,30.946405202120946,-19.025149486710248
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,71,1734335884178216649,1734335886379313664,2201,949.503,717.264,33.70650412138672,-13.335318443018084
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,72,1734335886686182649,1734335887119144704,433,244.684,125.511,-22.42319207589038,30.002241776203476
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,73,1734335887422207649,1734335887775139584,353,240.147,293.194,-21.215614943634787,17.523777195594192
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,74,1734335887830120649,1734335888023161600,193,144.405,184.129,-29.971355723536046,25.18805155405068
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,75,1734335888078004649,1734335888251132672,173,264.977,47.142,-21.826407735319734,35.996681323253135
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,76,1734335888286173649,1734335888471180544,185,310.118,22.053,-18.192128502422115,38.12859272087172
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,77,1734335888602188649,1734335888747187712,145,653.808,55.141,12.403388953134638,35.77241527701178
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,78,1734335889014054649,1734335889191190528,177,242.689,373.66,-20.610611831653756,11.57762957179136
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,79,1734335889222142649,1734335889495153664,273,228.408,325.924,-21.938450267494343,15.075830757270035
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,80,1734335889522155649,1734335890359148544,837,202.879,341.783,-23.83402708709149,13.848835458006581
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,81,1734335890394068649,1734335890635119616,241,133.675,313.191,-29.433146396752136,15.750594964896052
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,82,1734335890678141649,1734335891515713536,838,220.7,276.907,-22.856423418207555,18.673901156106854
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,83,1734335891554360649,1734335892607135488,1053,222.78,340.093,-22.29942922948358,14.01776598361591
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,84,1734335892786098649,1734335893051113472,265,448.233,877.361,-5.166836522945775,-26.1546390084481
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,85,1734335893222292649,1734335893363181568,141,352.638,156.26,-13.124076529278504,28.061740650749805
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,86,1734335893402172649,1734335893583278592,181,455.552,225.319,-4.490198518493409,22.99380103643539
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,87,1734335893622183649,1734335893971135488,349,370.867,283.597,-11.02377978430333,18.50581356681884
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,88,1734335894030097649,1734335894123195648,93,425.934,187.729,-6.969512249497686,25.812767932878515
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,89,1734335894158204649,1734335894371098624,213,534.34,194.219,1.8185742960074167,25.362564615229818
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,90,1734335894418086649,1734335894663195648,245,380.783,158.426,-10.790276858183358,27.96115163752207
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,91,1734335894810099649,1734335894993294592,183,592.883,285.003,6.338781688024231,18.457986290981985
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,92,1734335895030031649,1734335895199120640,169,509.807,275.581,-0.15282857534401165,19.20970910693326
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,93,1734335895230085649,1734335895375171584,145,460.017,262.49,-4.075177636207003,20.1864642157096
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,94,1734335895414254649,1734335895603377664,189,369.526,223.878,-11.36901141878174,22.99558369988084
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,95,1734335895638097649,1734335895847250688,209,330.796,212.896,-14.533377977284387,23.74076671971908
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,96,1734335895970103649,1734335896047182592,77,412.426,645.819,-7.543762533778922,-8.687100917730303
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,97,1734335896142118649,1734335896231129600,89,484.089,178.879,-2.2615164438263187,26.52958563688604
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,98,1734335896254146649,1734335896391039488,137,484.633,148.21,-2.255215788311009,28.863444842541192
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,99,1734335896426368649,1734335896779019520,353,401.713,120.43,-9.262253603280614,30.89017809834171
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,100,1734335896854151649,1734335897023161600,169,730.421,172.996,17.82114204305818,26.591281117338067
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,101,1734335897062452649,1734335897275094528,213,764.639,236.19,20.06923721636495,21.768761216653537
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,102,1734335897454121649,1734335897603107584,149,451.743,927.385,-5.013087527311755,-29.953346571217196
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,103,1734335897790103649,1734335898063160576,273,551.559,171.677,3.241422009230111,27.06440401555068
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,104,1734335898106119649,1734335898391143680,285,627.262,152.275,9.509762112578105,28.435250351933625
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,105,1734335898438119649,1734335898587011584,149,442.361,198.722,-5.607696823259653,24.997117037242383
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,106,1734335898642270649,1734335898799187712,157,272.573,166.923,-19.630434422002036,27.015823244777444
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,107,1734335898854347649,1734335899087258624,233,510.961,228.154,-0.06704283178865138,22.79626312933835
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,108,1734335899126159649,1734335899231259648,105,382.807,204.549,-10.391230319926022,24.47671480791464
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,109,1734335899282141649,1734335899463057664,181,616.437,270.783,8.213522514527739,19.503725102868952
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,110,1734335899502074649,1734335899783060480,281,716.293,295.266,15.923449004652593,17.500414493411967
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,111,1734335899830094649,1734335900051172608,221,570.227,270.802,4.588704099416681,19.54770939638957
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,112,1734335900074159649,1734335900207355648,133,613.702,294.341,7.943055978016413,17.733717592000872
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,113,1734335900246124649,1734335901003023616,757,700.453,291.511,14.707002911122194,17.81265380838168
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,114,1734335901054168649,1734335901215122688,161,521.974,228.818,0.8105848905582438,22.744490271495916
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,115,1734335901242076649,1734335901447140608,205,464.466,225.092,-3.7788867416660694,23.016513043026844
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,116,1734335901510150649,1734335902811093504,1301,686.953,256.595,13.805922883277528,20.45151850060423
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,117,1734335902990153649,1734335904663081472,1673,692.622,291.171,14.098549967187635,17.853199889655812
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,118,1734335904962085649,1734335905055123712,93,459.928,252.212,-4.097370062992457,20.962954820746482
