section id,recording id,saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,26,1734335861798066649,1734335861841991649,44,106.14263870118752,7.830927518709447,2467.788368884185,3869.234177084421
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,27,1734335862194062649,1734335862382093649,188,157.413774025248,11.956458186519175,5096.123967161152,10998.475280900997
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,28,1734335862582054649,1734335862742170649,160,709.3681537280179,53.40571907903184,4983.907613122048,12180.499561233593
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,29,1734335862862036649,1734335862902067649,40,36.87064282277674,2.705060645079137,1179.2919157777237,1332.5617971229235
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,30,1734335863094110649,1734335863130158649,36,54.53183659625062,3.961841837212316,1742.1584976234158,2054.0748494889312
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,31,1734335863366026649,1734335863390143649,24,28.914296301288683,2.0595550699315495,1258.535326755073,1555.8975422910923
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,32,1734335863758139649,1734335863958554649,200,693.8603757228008,51.96322790555502,6422.006141120595,15628.148515858216
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,33,1734335864090126649,1734335864162118649,72,87.57575773783408,6.714120401415361,1684.5240204597917,2745.34558863982
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,34,1734335864306341649,1734335864346157649,40,68.26071266655073,5.282096428518378,1752.5108268046224,2549.929573227758
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,35,1734335864494168649,1734335864722122649,228,254.56727258355374,19.366755587386365,5545.436265250638,13125.026022687754
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,36,1734335864886041649,1734335864938295649,52,168.39035036803233,12.503368961206908,3455.630737265144,5948.19615063233
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,37,1734335865226160649,1734335865270158649,44,98.5903091549959,7.427347778463688,2275.558573227566,3059.2749713073945
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,38,1734335865470140649,1734335865522127649,52,122.77432995507841,9.020577777820222,2534.112506558378,3902.123853712537
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,39,1734335865726153649,1734335865794037649,68,125.5092943325889,9.568524141862586,1930.3522462567234,3148.670375667315
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,40,1734335865934230649,1734335865962115649,28,27.484084357052566,1.995578729287536,1200.394234759598,1517.4890511920332
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,41,1734335866094155649,1734335866154245649,60,205.91827820033006,14.638435988451114,3476.976179485215,5748.367564088013
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,42,1734335866482152649,1734335866914162649,432,431.83525282916116,32.853809243106326,4085.063065880196,11656.321000042331
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,43,1734335866982155649,1734335867050205649,68,118.93033491162632,8.941665954793205,1933.7486185833766,2549.2835737348064
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,44,1734335867162051649,1734335867214344649,52,232.6635331142644,17.44193523496223,4400.503906670723,6439.927621663449
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,45,1734335867618147649,1734335867746051649,128,369.43898838686744,27.667045283730737,3036.112419379116,4875.710308543146
