section id,recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,1,1734335854522114649,1734335854866070649,344
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,2,1734335858326128649,1734335858666117649,340
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,3,1734335860186269649,1734335860566149649,380
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,4,1734335862182123649,1734335862522213649,340
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,5,1734335864486323649,1734335864850126649,364
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,6,1734335866482152649,1734335866958233649,476
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,7,1734335880406772649,1734335880726105649,319
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,8,1734335886406131649,1734335886794241649,388
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,9,1734335887162107649,1734335887534149649,372
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,10,1734335888738137649,1734335889122147649,384
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,11,1734335902782115649,1734335903158115649,376
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,12,1734335904634090649,1734335905042188649,408
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,13,1734335907230356649,1734335907618207649,388
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,14,1734335909550238649,1734335909990129649,440
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,15,1734335912754127649,1734335913106124649,352
1a1c69bd-bd1b-4abc-828a-830ca10d3515,00079675-ce50-4d34-a3ee-1b7229d4b4ad,16,1734335915406144649,1734335915782143649,376
