blink id,start timestamp [ns],end timestamp [ns],duration [ms],trial_id,trial_type
13,1732933953990025966,1732933954329871966,340,1,noisy
14,1732933954565802966,1732933954913927966,348,1,noisy
15,1732933955701921966,1732933956097760966,396,1,noisy
16,1732933957029897966,1732933957386008966,356,1,noisy
17,1732933957969916966,1732933958321935966,352,1,noisy
18,1732933958518002966,1732933958881949966,364,1,noisy
19,1732933961165920966,1732933961541937966,376,1,noisy
20,1732933963621927966,1732933963966035966,344,1,noisy
21,1732933964509911966,1732933964950042966,440,1,noisy
22,1732933965189893966,1732933965589806966,400,1,noisy
23,1732933967201822966,1732933967597987966,396,1,noisy
24,1732933969709940966,1732933970053813966,344,1,noisy
25,1732933972721894966,1732933972981872966,260,1,noisy
26,1732933972985861966,1732933973357936966,372,1,noisy
27,1732933975305942966,1732933975637854966,332,1,noisy
28,1732933977061788966,1732933977473892966,412,1,noisy
29,1732933978065840966,1732933978433964966,368,1,noisy
30,1732933979357803966,1732933979765969966,408,1,noisy
31,1732933981101902966,1732933981481949966,380,1,noisy
32,1732933982837912966,1732933983217942966,380,1,noisy
33,1732933984585904966,1732933984937921966,352,1,noisy
34,1732933987889915966,1732933988245865966,356,1,noisy
35,1732933989445796966,1732933989781900966,336,1,noisy
36,1732933990465932966,1732933990829942966,364,1,noisy
37,1732933992137924966,1732933992529896966,392,1,noisy
38,1732933994645957966,1732933994993953966,348,1,noisy
39,1732933995653891966,1732933996017914966,364,1,noisy
40,1732934001257806966,1732934001609902966,352,1,noisy
41,1732934003861763966,1732934004245911966,384,1,noisy
42,1732934006357871966,1732934006770019966,412,1,noisy
43,1732934008634022966,1732934008933853966,300,1,noisy
44,1732934010613906966,1732934010961809966,348,1,noisy
45,1732934011461908966,1732934011833917966,372,1,noisy
46,1732934013513866966,1732934013825901966,312,1,noisy
47,1732934014370084966,1732934014730084966,360,1,noisy
48,1732934016561866966,1732934016917935966,356,1,noisy
49,1732934017227666966,1732934017665873966,438,1,noisy
50,1732934017669893966,1732934018089904966,420,1,noisy
51,1732934018662083966,1732934019061870966,400,1,noisy
52,1732934020021936966,1732934020413917966,392,1,noisy
