fixation id,start timestamp [ns],end timestamp [ns],fixation on face
1,1732933936749881966,1732933937334923008,False
2,1732933937449966966,1732933937691014912,False
3,1732933937749857966,1732933937866894848,False
4,1732933938049852966,1732933938230963968,False
5,1732933938249906966,1732933939054934784,False
6,1732933939177916966,1732933939466913792,False
7,1732933939485895966,1732933939806821888,False
8,1732933939825930966,1732933940006918912,False
9,1732933940069887966,1732933940174955008,False
10,1732933940217898966,1732933940382910976,False
11,1732933940413908966,1732933940578934784,False
12,1732933940617915966,1732933940695407872,False
13,1732933940833869966,1732933940898797824,False
14,1732933940949911966,1732933941170887936,False
15,1732933941325937966,1732933942171059968,False
16,1732933942345882966,1732933942510889984,False
17,1732933942549874966,1732933942790904832,False
18,1732933942817878966,1732933943046913024,False
19,1732933943133988966,1732933943266899968,False
20,1732933943305877966,1732933943406889984,False
21,1732933943445871966,1732933943666937856,False
22,1732933943713904966,1732933943958914816,False
23,1732933944089844966,1732933944362817024,False
24,1732933944481917966,1732933944690856960,False
25,1732933944713853966,1732933945110878976,False
26,1732933945145913966,1732933945395028992,False
27,1732933945429951966,1732933945590829824,False
28,1732933945613772966,1732933946474902784,False
29,1732933946637784966,1732933946938949888,False
30,1732933946965907966,1732933947102800896,False
31,1732933947253847966,1732933947470902784,False
32,1732933947497912966,1732933948026895872,False
33,1732933948069872966,1732933948222910976,False
34,1732933948397882966,1732933948930909952,False
35,1732933949410049966,1732933949590904832,False
36,1732933949641941966,1732933949846902016,False
37,1732933949873895966,1732933950086793984,False
38,1732933950118057966,1732933950346806016,False
39,1732933950397880966,1732933950662811904,False
40,1732933950693860966,1732933950938913024,False
41,1732933950985945966,1732933951150891008,False
42,1732933951501782966,1732933951762934784,False
43,1732933952021902966,1732933952182861824,False
44,1732933952317937966,1732933952518885888,False
45,1732933952625801966,1732933952986952960,False
46,1732933953101932966,1732933953314916864,False
47,1732933953442432966,1732933953626865920,False
48,1732933953669922966,1732933954010904832,False
49,1732933954117893966,1732933954386800896,False
50,1732933954429915966,1732933954570802944,False
51,1732933954725982966,1732933954946998016,False
52,1732933954993813966,1732933955738934784,False
53,1732933955918154966,1732933957059009024,False
54,1732933957205901966,1732933958010961920,False
55,1732933958129913966,1732933958538920960,True
56,1732933958705957966,1732933958830886912,False
57,1732933958878082966,1732933959070914816,False
58,1732933959114050966,1732933959474889984,False
59,1732933959521824966,1732933959682859776,False
60,1732933959733897966,1732933960518892800,True
61,1732933960565977966,1732933961170920960,False
62,1732933961329985966,1732933961510967808,False
63,1732933961529889966,1732933962310913792,False
64,1732933962353919966,1732933962786903808,False
65,1732933962845952966,1732933963314894848,False
