blink id,start timestamp [ns],end timestamp [ns],duration [ms],trial_id,trial_type
29,1734335966810120649,1734335967194101649,384,1.0,noisy
30,1734335971958074649,1734335972290058649,332,1.0,noisy
31,1734335972366192649,1734335972734105649,368,1.0,noisy
32,1734335974962088649,1734335975362185649,400,1.0,noisy
33,1734335978297986649,1734335978654192649,356,1.0,noisy
34,1734335980598052649,1734335980946109649,348,1.0,noisy
35,1734335987318105649,1734335987678026649,360,1.0,noisy
36,1734335990642119649,1734335991006080649,364,1.0,noisy
37,1734335992374127649,1734335992778028649,404,1.0,noisy
38,1734335993878081649,1734335994310087649,432,1.0,noisy
39,1734335997130129649,1734335997550088649,420,1.0,noisy
40,1734335999874087649,1734336000310103649,436,1.0,noisy
41,1734336004754100649,1734336005158094649,404,1.0,noisy
42,1734336007462085649,1734336007810147649,348,1.0,noisy
43,1734336013614115649,1734336013958108649,344,1.0,noisy
44,1734336014622052649,1734336015034190649,412,1.0,noisy
45,1734336016806300649,1734336017190066649,384,1.0,noisy
46,1734336019198129649,1734336019598111649,400,1.0,noisy
47,1734336026394086649,1734336026758071649,364,1.0,noisy
48,1734336028634098649,1734336029034352649,400,1.0,noisy
49,1734336030278082649,1734336030698233649,420,1.0,noisy
50,1734336033342217649,1734336033762108649,420,1.0,noisy
51,1734336037882080649,1734336038222101649,340,1.0,noisy
52,1734336045110067649,1734336045466102649,356,1.0,noisy
53,1734336047622103649,1734336047994078649,372,1.0,noisy
54,1734336050130123649,1734336050530109649,400,1.0,noisy
55,1734336056150145649,1734336056482171649,332,1.0,noisy
58,1734336091314074649,1734336091734311649,420,2.0,quiet
59,1734336094230086649,1734336094618098649,388,2.0,quiet
60,1734336101654155649,1734336102070070649,416,2.0,quiet
61,1734336104306070649,1734336104686010649,380,2.0,quiet
62,1734336111954297649,1734336112278060649,324,2.0,quiet
63,1734336114194076649,1734336114582088649,388,2.0,quiet
64,1734336119134440649,1734336119494312649,360,2.0,quiet
65,1734336122570072649,1734336122998026649,428,2.0,quiet
66,1734336124898063649,1734336125282101649,384,2.0,quiet
67,1734336129762280649,1734336130170088649,408,2.0,quiet
68,1734336133858192649,1734336134262072649,404,2.0,quiet
69,1734336137638644649,1734336138082132649,443,2.0,quiet
70,1734336141302051649,1734336141618297649,316,2.0,quiet
71,1734336146942062649,1734336147290654649,349,2.0,quiet
72,1734336147682107649,1734336148086220649,404,2.0,quiet
73,1734336149582097649,1734336149978125649,396,2.0,quiet
74,1734336154706322649,1734336155066107649,360,2.0,quiet
75,1734336162654242649,1734336163042158649,388,2.0,quiet
76,1734336165418294649,1734336165786084649,368,2.0,quiet
77,1734336168310102649,1734336168674276649,364,2.0,quiet
78,1734336169698136649,1734336170082013649,384,2.0,quiet
79,1734336171402090649,1734336171866263649,464,2.0,quiet
80,1734336174758098649,1734336175118142649,360,2.0,quiet
81,1734336178902359649,1734336179286061649,384,2.0,quiet
90,1734336209462308649,1734336209886106649,424,3.0,noisy
91,1734336212406069649,1734336212838115649,432,3.0,noisy
92,1734336215238201649,1734336215582113649,344,3.0,noisy
93,1734336217902101649,1734336218250180649,348,3.0,noisy
94,1734336218670068649,1734336219074097649,404,3.0,noisy
95,1734336220621994649,1734336220994080649,372,3.0,noisy
96,1734336228158092649,1734336228502269649,344,3.0,noisy
97,1734336231190090649,1734336231574219649,384,3.0,noisy
98,1734336235094228649,1734336235482070649,388,3.0,noisy
99,1734336240918179649,1734336241250032649,332,3.0,noisy
100,1734336244018118649,1734336244366142649,348,3.0,noisy
101,1734336246246189649,1734336246646112649,400,3.0,noisy
102,1734336249470141649,1734336249838008649,368,3.0,noisy
103,1734336252342182649,1734336252730232649,388,3.0,noisy
104,1734336254386073649,1734336254822070649,436,3.0,noisy
105,1734336257094372649,1734336257477983649,384,3.0,noisy
106,1734336261118224649,1734336261506254649,388,3.0,noisy
107,1734336263166102649,1734336263574160649,408,3.0,noisy
108,1734336266726141649,1734336267126237649,400,3.0,noisy
109,1734336270282063649,1734336270662101649,380,3.0,noisy
110,1734336272290069649,1734336272650114649,360,3.0,noisy
111,1734336274010101649,1734336274358131649,348,3.0,noisy
112,1734336275590103649,1734336276010068649,420,3.0,noisy
113,1734336278614080649,1734336279018086649,404,3.0,noisy
114,1734336282442094649,1734336282862108649,420,3.0,noisy
115,1734336287954399649,1734336288346197649,392,3.0,noisy
116,1734336289806076649,1734336290198242649,392,3.0,noisy
117,1734336291118017649,1734336291498258649,380,3.0,noisy
118,1734336292450103649,1734336292822130649,372,3.0,noisy
119,1734336294098125649,1734336294450070649,352,3.0,noisy
120,1734336298926076649,1734336299306105649,380,3.0,noisy
121,1734336302390173649,1734336302798094649,408,3.0,noisy
126,1734336336738298649,1734336337210190649,472,4.0,noisy
127,1734336337650071649,1734336338030065649,380,4.0,noisy
128,1734336342114085649,1734336342490070649,376,4.0,noisy
129,1734336344410066649,1734336344814071649,404,4.0,noisy
130,1734336346578120649,1734336346926116649,348,4.0,noisy
131,1734336351534194649,1734336351870286649,336,4.0,noisy
132,1734336354597974649,1734336354974074649,376,4.0,noisy
133,1734336355573998649,1734336356038000649,464,4.0,noisy
134,1734336358322412649,1734336358718062649,396,4.0,noisy
135,1734336366602196649,1734336366958091649,356,4.0,noisy
136,1734336376782034649,1734336377170070649,388,4.0,noisy
137,1734336378754157649,1734336379178021649,424,4.0,noisy
138,1734336382298082649,1734336382694085649,396,4.0,noisy
139,1734336384202086649,1734336384646038649,444,4.0,noisy
140,1734336385314121649,1734336385698156649,384,4.0,noisy
141,1734336388186605649,1734336388538064649,351,4.0,noisy
142,1734336389810094649,1734336390190111649,380,4.0,noisy
143,1734336391446100649,1734336391822078649,376,4.0,noisy
144,1734336394158299649,1734336394554250649,396,4.0,noisy
145,1734336399134221649,1734336399502110649,368,4.0,noisy
146,1734336402394106649,1734336402770139649,376,4.0,noisy
147,1734336415526127649,1734336415874051649,348,4.0,noisy
148,1734336419722102649,1734336420042129649,320,4.0,noisy
149,1734336420910064649,1734336421286237649,376,4.0,noisy
155,1734336450398096649,1734336450762115649,364,5.0,quiet
156,1734336451934169649,1734336452330119649,396,5.0,quiet
157,1734336454238083649,1734336454638149649,400,5.0,quiet
158,1734336457614096649,1734336458034069649,420,5.0,quiet
159,1734336463378227649,1734336463742032649,364,5.0,quiet
160,1734336465938071649,1734336466322101649,384,5.0,quiet
161,1734336475194084649,1734336475545952649,352,5.0,quiet
162,1734336476450247649,1734336476834080649,384,5.0,quiet
163,1734336478818353649,1734336479202191649,384,5.0,quiet
164,1734336483270075649,1734336483642156649,372,5.0,quiet
165,1734336487470123649,1734336487838100649,368,5.0,quiet
166,1734336492718200649,1734336493078165649,360,5.0,quiet
167,1734336498714251649,1734336499126208649,412,5.0,quiet
168,1734336499614167649,1734336500002089649,388,5.0,quiet
169,1734336501094046649,1734336501538103649,444,5.0,quiet
170,1734336508734024649,1734336509094069649,360,5.0,quiet
171,1734336510086073649,1734336510470046649,384,5.0,quiet
172,1734336512413949649,1734336512778145649,364,5.0,quiet
173,1734336515642017649,1734336516014545649,373,5.0,quiet
174,1734336516386077649,1734336516774037649,388,5.0,quiet
175,1734336518858124649,1734336519234094649,376,5.0,quiet
176,1734336522318242649,1734336522702078649,384,5.0,quiet
177,1734336526974076649,1734336527378066649,404,5.0,quiet
178,1734336528914104649,1734336529302268649,388,5.0,quiet
179,1734336531854198649,1734336532254072649,400,5.0,quiet
180,1734336532950190649,1734336533342064649,392,5.0,quiet
181,1734336535294221649,1734336535706101649,412,5.0,quiet
182,1734336537626135649,1734336538046135649,420,5.0,quiet
183,1734336539278093649,1734336539694068649,416,5.0,quiet
189,1734336578501988649,1734336578830154649,328,6.0,quiet
190,1734336580358101649,1734336580718117649,360,6.0,quiet
191,1734336586906031649,1734336587306071649,400,6.0,quiet
192,1734336591046021649,1734336591446258649,400,6.0,quiet
193,1734336595286134649,1734336595726067649,440,6.0,quiet
194,1734336596650222649,1734336597030082649,380,6.0,quiet
195,1734336604450136649,1734336604926200649,476,6.0,quiet
196,1734336612326068649,1734336612670084649,344,6.0,quiet
197,1734336616550276649,1734336616922142649,372,6.0,quiet
198,1734336623194112649,1734336623510058649,316,6.0,quiet
199,1734336625266065649,1734336625642219649,376,6.0,quiet
200,1734336635358053649,1734336635566064649,208,6.0,quiet
201,1734336636046163649,1734336636362008649,316,6.0,quiet
202,1734336638278380649,1734336638618116649,340,6.0,quiet
203,1734336639350098649,1734336639710327649,360,6.0,quiet
204,1734336643506145649,1734336643898086649,392,6.0,quiet
205,1734336650194092649,1734336650610082649,416,6.0,quiet
