section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
0dfd57f3-bb74-4c39-a8b1-e972c852b041,71a2ba67-1c9e-4a87-906a-6992b40e04c7,1,1734859097504775316,1734859097809889280,305,590.997,230.501,6.3042857000848285,22.571594986086158
0dfd57f3-bb74-4c39-a8b1-e972c852b041,71a2ba67-1c9e-4a87-906a-6992b40e04c7,2,1734859097864806316,1734859098005806336,141,500.294,234.671,-0.914505793656566,22.302789033739984
0dfd57f3-bb74-4c39-a8b1-e972c852b041,71a2ba67-1c9e-4a87-906a-6992b40e04c7,3,1734859098040850316,1734859098189893376,149,423.567,236.51,-7.013241461119998,22.119890516772703
0dfd57f3-bb74-4c39-a8b1-e972c852b041,71a2ba67-1c9e-4a87-906a-6992b40e04c7,4,1734859098260894316,1734859098585787136,325,675.742,270.496,12.86419110707655,19.43256786653183
0dfd57f3-bb74-4c39-a8b1-e972c852b041,71a2ba67-1c9e-4a87-906a-6992b40e04c7,5,1734859098640877316,1734859098769828352,129,562.593,275.13,3.9844806360895997,19.22623618886101
0dfd57f3-bb74-4c39-a8b1-e972c852b041,71a2ba67-1c9e-4a87-906a-6992b40e04c7,6,1734859098804884316,1734859098989800192,185,490.131,271.932,-1.6976504873102798,19.48401443034376
0dfd57f3-bb74-4c39-a8b1-e972c852b041,71a2ba67-1c9e-4a87-906a-6992b40e04c7,7,1734859099032903316,1734859099361853184,329,408.815,264.229,-8.10422197009109,20.012332301406765
0dfd57f3-bb74-4c39-a8b1-e972c852b041,71a2ba67-1c9e-4a87-906a-6992b40e04c7,8,1734859099420794316,1734859099601800192,181,582.853,293.934,5.541369768325976,17.79346746342924
0dfd57f3-bb74-4c39-a8b1-e972c852b041,71a2ba67-1c9e-4a87-906a-6992b40e04c7,9,1734859099636795316,1734859099753722368,117,622.663,307.921,8.608662592610617,16.702255990617918
0dfd57f3-bb74-4c39-a8b1-e972c852b041,71a2ba67-1c9e-4a87-906a-6992b40e04c7,10,1734859099796835316,1734859099881842176,85,527.503,297.251,1.2275726786422851,17.570930818141143
