fixation id,start timestamp [ns],end timestamp [ns],fixation on face
1,1734346732589156455,1734346732830122496,False
2,1734346732865271455,1734346733222068480,False
3,1734346733285140455,1734346733398065408,False
4,1734346733425083455,1734346733622074368,False
5,1734346733645141455,1734346733822166272,False
6,1734346733881119455,1734346734118065408,False
7,1734346734149128455,1734346734366138368,False
8,1734346734397740455,1734346734546083328,False
9,1734346734581141455,1734346734766180352,False
10,1734346734797160455,1734346734978179328,False
11,1734346735017134455,1734346735218112512,False
12,1734346735429239455,1734346735518324480,False
13,1734346735765151455,1734346735986149376,False
14,1734346736041114455,1734346736330151424,False
15,1734346736545200455,1734346736794367488,False
16,1734346737001142455,1734346737106148352,False
17,1734346737177098455,1734346737266156288,False
18,1734346737285476455,1734346737362106368,False
19,1734346737477314455,1734346737766127360,False
20,1734346737801109455,1734346737946493440,False
21,1734346738169074455,1734346738258292480,True
22,1734346738481152455,1734346738582145280,False
23,1734346738617116455,1734346738878652416,False
24,1734346739049111455,1734346739122135296,False
25,1734346739197108455,1734346739470239488,False
26,1734346739713099455,1734346739846153472,True
27,1734346739885337455,1734346740094126336,False
28,1734346740133180455,1734346740690424320,False
29,1734346740885168455,1734346741598063360,True
30,1734346741849106455,1734346742318101504,True
31,1734346742509127455,1734346743018117376,True
32,1734346743257131455,1734346743846091264,True
33,1734346743909100455,1734346744090152448,False
34,1734346744129101455,1734346744474272512,False
35,1734346744497106455,1734346744726095360,False
36,1734346745125229455,1734346746498135296,False
37,1734346746717111455,1734346746970227456,True
38,1734346746997136455,1734346749186336512,False
39,1734346749285127455,1734346749566130432,True
40,1734346749637154455,1734346749842109440,False
41,1734346749877181455,1734346749942069504,False
42,1734346750161189455,1734346751094068480,False
43,1734346751125188455,1734346751290190336,False
44,1734346751325120455,1734346751474153472,False
45,1734346751509126455,1734346751894158336,False
46,1734346751925365455,1734346752666368512,False
47,1734346752721169455,1734346753078186496,False
48,1734346753233080455,1734346753818129408,True
49,1734346754001268455,1734346755526100480,True
50,1734346755597035455,1734346756262121472,False
51,1734346756477111455,1734346756782103296,False
52,1734346756841140455,1734346757142126336,False
53,1734346757361120455,1734346758694138368,True
54,1734346758881199455,1734346759550091264,True
55,1734346759741103455,1734346762918123264,False
56,1734346762969081455,1734346763270151424,False
57,1734346763289098455,1734346763382103296,False
58,1734346763589094455,1734346764038209280,False
59,1734346764237113455,1734346764738117376,False
60,1734346764769142455,1734346765046211328,False
61,1734346765089099455,1734346765266318336,False
62,1734346765397135455,1734346765610116352,False
63,1734346765865110455,1734346766078484480,False
64,1734346766169104455,1734346766286274304,False
65,1734346766325140455,1734346766746177280,False
66,1734346766829202455,1734346767030121472,False
67,1734346767101207455,1734346767226133504,False
68,1734346767257211455,1734346767798119424,False
69,1734346767817095455,1734346768078119424,False
70,1734346768117079455,1734346768326171392,False
71,1734346768365097455,1734346768486256384,False
72,1734346768537144455,1734346769178243328,False
73,1734346769201116455,1734346769430112512,False
74,1734346769457188455,1734346769598107392,False
75,1734346769617118455,1734346769750349312,False
76,1734346769777142455,1734346769902110464,False
77,1734346770005296455,1734346770094096384,False
78,1734346770421136455,1734346770570348288,False
79,1734346770877102455,1734346771450088448,False
80,1734346771489123455,1734346771630100480,False
81,1734346771657088455,1734346771782100480,False
82,1734346772113128455,1734346772206212352,False
83,1734346772245169455,1734346772398214400,False
84,1734346772421138455,1734346772542237440,False
85,1734346772601088455,1734346772906216448,False
86,1734346772957104455,1734346773138118400,False
87,1734346773189142455,1734346773302124288,False
88,1734346773365169455,1734346773598618368,False
89,1734346773757162455,1734346773978268416,False
90,1734346774029153455,1734346774206315264,False
91,1734346774229082455,1734346774366164480,False
92,1734346774401117455,1734346774538182400,False
93,1734346774869244455,1734346775026166272,False
94,1734346775081135455,1734346775270121472,False
95,1734346775365136455,1734346775810104320,False
96,1734346776237296455,1734346776442216448,False
97,1734346776477110455,1734346776666195456,False
98,1734346776937188455,1734346777010268416,False
99,1734346777037327455,1734346777282108416,False
100,1734346777457098455,1734346777658293504,False
101,1734346777693166455,1734346777818233344,False
102,1734346778289119455,1734346778914143488,False
103,1734346778949158455,1734346779218171392,False
104,1734346779533179455,1734346779618132480,False
105,1734346779653171455,1734346779806168320,False
106,1734346779853111455,1734346779982132480,False
107,1734346780001198455,1734346780222110464,False
108,1734346780261185455,1734346780442279424,False
109,1734346780489120455,1734346780706209280,False
110,1734346780957124455,1734346781198511360,False
111,1734346781441250455,1734346781686121472,False
112,1734346781721154455,1734346781986127360,False
113,1734346782221155455,1734346782534171392,False
114,1734346782745216455,1734346783030108416,False
115,1734346783073139455,1734346783306194432,False
116,1734346783341563455,1734346783578065408,False
117,1734346783637218455,1734346783922325504,False
118,1734346783989105455,1734346784146065408,False
119,1734346784181087455,1734346784478223360,False
120,1734346784517138455,1734346784742138368,False
121,1734346784777270455,1734346784970120448,False
122,1734346785025106455,1734346786682114304,False
123,1734346786729106455,1734346788066182400,False
124,1734346788117103455,1734346788402107392,False
125,1734346788449292455,1734346788598166272,False
126,1734346788737121455,1734346789214174464,False
127,1734346789253130455,1734346789606325504,False
128,1734346789629107455,1734346789954088448,False
129,1734346790001249455,1734346790390112512,False
130,1734346790441134455,1734346790886230272,False
131,1734346790925103455,1734346791622243328,False
132,1734346791669141455,1734346792946093312,False
133,1734346792985152455,1734346793570130432,False
134,1734346793621068455,1734346793886213376,False
135,1734346794041130455,1734346795982092288,False
136,1734346796357203455,1734346797386065408,False
137,1734346797569159455,1734346797822058496,False
138,1734346797881133455,1734346798202311424,False
139,1734346798245069455,1734346798830139392,False
140,1734346798881094455,1734346799562073344,False
141,1734346799601322455,1734346800350113280,False
142,1734346800389090455,1734346800754140416,False
143,1734346800801171455,1734346801154109440,False
144,1734346801209426455,1734346801466920448,False
145,1734346801505056455,1734346801822127360,False
146,1734346801861187455,1734346802282162432,True
147,1734346802353091455,1734346802570119424,False
148,1734346802637155455,1734346802742106368,False
149,1734346802773193455,1734346803078181376,True
150,1734346803169064455,1734346804218060288,False
151,1734346804269150455,1734346804526168320,False
152,1734346804561313455,1734346805094086400,False
153,1734346805157125455,1734346805354591488,False
154,1734346805389139455,1734346805774288384,False
155,1734346805897074455,1734346806062190336,False
156,1734346806265122455,1734346808314072320,False
157,1734346808369241455,1734346808690089472,False
158,1734346808733255455,1734346808854269440,False
159,1734346808889104455,1734346809446136320,False
160,1734346809549136455,1734346809654092288,False
161,1734346809745103455,1734346810310295296,True
162,1734346810413100455,1734346810682139392,False
163,1734346810957175455,1734346811126412288,False
164,1734346811169141455,1734346811498089472,False
165,1734346811657179455,1734346811838146304,False
166,1734346811877137455,1734346812378153472,False
167,1734346812421224455,1734346813310087424,True
168,1734346813361275455,1734346814186114304,False
169,1734346814241098455,1734346815722112512,False
170,1734346815777120455,1734346815886164480,False
171,1734346815945306455,1734346816690125312,False
172,1734346816749340455,1734346816970147328,False
173,1734346817021086455,1734346818498800384,True
174,1734346818577130455,1734346818782263296,False
175,1734346818821347455,1734346818958303488,False
176,1734346819017256455,1734346819938075392,False
177,1734346820093043455,1734346820190176512,True
178,1734346820389194455,1734346822422170368,True
179,1734346822457107455,1734346822762106368,False
180,1734346822797125455,1734346823350122496,True
181,1734346823445136455,1734346823554362368,False
182,1734346823605112455,1734346823730149376,False
183,1734346823769255455,1734346833666248448,False
184,1734346833741149455,1734346834438126336,False
