blink id,start timestamp [ns],end timestamp [ns],duration [ms]
159,1734347023481226455,1734347023825133455,344
160,1734347026501076455,1734347027017046455,516
161,1734347027381488455,1734347027917262455,536
162,1734347028521067455,1734347028869144455,348
163,1734347029445081455,1734347029789078455,344
164,1734347030857144455,1734347031261250455,404
165,1734347032349033455,1734347032669446455,320
166,1734347034109055455,1734347034477079455,368
167,1734347035365084455,1734347035793124455,428
168,1734347044277044455,1734347044645068455,368
169,1734347045169110455,1734347045521290455,352
170,1734347046005149455,1734347046385158455,380
171,1734347048209088455,1734347048433070455,224
172,1734347048437069455,1734347048821067455,384
173,1734347049877122455,1734347050281694455,405
174,1734347056605067455,1734347056941076455,336
175,1734347062421090455,1734347062809097455,388
176,1734347063217179455,1734347063625177455,408
177,1734347069481149455,1734347069861059455,380
178,1734347071305056455,1734347071689157455,384
179,1734347075505057455,1734347075845074455,340
180,1734347077829090455,1734347078209061455,380
181,1734347079057062455,1734347079465075455,408
182,1734347080801080455,1734347081165063455,364
183,1734347084321070455,1734347084489059455,168
184,1734347084497153455,1734347084905095455,408
185,1734347086629036455,1734347086953100455,324
186,1734347087965169455,1734347088325058455,360
187,1734347093549040455,1734347093857086455,308
188,1734347093869068455,1734347094249151455,380
189,1734347096261088455,1734347096697201455,436
190,1734347096913072455,1734347097317732455,405
191,1734347100809099455,1734347101149056455,340
192,1734347101453129455,1734347101849048455,396
193,1734347110053057455,1734347110409085455,356
194,1734347110725078455,1734347111081163455,356
195,1734347112397056455,1734347112773229455,376
196,1734347112925072455,1734347113309071455,384
197,1734347117085043455,1734347117433039455,348
198,1734347121393046455,1734347121945090455,552
199,1734347123125119455,1734347123529063455,404
200,1734347123773066455,1734347124133204455,360
201,1734347125669105455,1734347125921190455,252
202,1734347127193131455,1734347127357123455,164
203,1734347127361251455,1734347127761145455,400
204,1734347133369044455,1734347133657061455,288
205,1734347133905229455,1734347134221056455,316
206,1734347134701066455,1734347135109093455,408
207,1734347138057084455,1734347138365142455,308
208,1734347140921114455,1734347141229121455,308
209,1734347142757199455,1734347143097166455,340
210,1734347143493073455,1734347143913206455,420
211,1734347144885058455,1734347145249074455,364
212,1734347145545102455,1734347145961108455,416
213,1734347146649394455,1734347146953158455,304
214,1734347146957500455,1734347147313064455,356
215,1734347147317126455,1734347147473028455,156
216,1734347148609075455,1734347148949103455,340
217,1734347149725110455,1734347150181131455,456
218,1734347150713035455,1734347151113100455,400
219,1734347151733065455,1734347152065040455,332
220,1734347153685347455,1734347153873051455,188
221,1734347153877043455,1734347154229060455,352
222,1734347154401041455,1734347154777067455,376
223,1734347155845080455,1734347156201037455,356
224,1734347156421625455,1734347156809429455,388
225,1734347158749139455,1734347159125074455,376
226,1734347159902607455,1734347160149069455,246
227,1734347160157164455,1734347160369148455,212
228,1734347160377069455,1734347160585380455,208
229,1734347161317034455,1734347161689038455,372
230,1734347161857113455,1734347162197077455,340
231,1734347162349136455,1734347162733041455,384
232,1734347164585047455,1734347164973079455,388
233,1734347168993054455,1734347169281092455,288
234,1734347181925045455,1734347182169061455,244
235,1734347182173076455,1734347182513047455,340
236,1734347183365109455,1734347183753093455,388
237,1734347195853050455,1734347196057289455,204
238,1734347197513076455,1734347197829540455,316
239,1734347197853075455,1734347198241203455,388
240,1734347199697035455,1734347200033084455,336
241,1734347200289062455,1734347200669207455,380
242,1734347201825265455,1734347202217051455,392
243,1734347206245081455,1734347206557073455,312
244,1734347207013092455,1734347207441061455,428
245,1734347208885095455,1734347209241096455,356
246,1734347209325182455,1734347209729089455,404
247,1734347211281905455,1734347211649054455,367
248,1734347213025057455,1734347213413167455,388
249,1734347215701091455,1734347216065300455,364
250,1734347220665042455,1734347220901050455,236
251,1734347220949065455,1734347221305066455,356
252,1734347235785076455,1734347236129052455,344
253,1734347236169077455,1734347236525061455,356
254,1734347238241313455,1734347238573061455,332
255,1734347238917122455,1734347239429255455,512
256,1734347239533202455,1734347239949074455,416
257,1734347240009043455,1734347240445075455,436
258,1734347241197059455,1734347241601237455,404
259,1734347241777063455,1734347242057132455,280
260,1734347242089232455,1734347242421203455,332
261,1734347244346439455,1734347244765031455,419
262,1734347245921196455,1734347246073154455,152
263,1734347246077057455,1734347246525191455,448
264,1734347249233072455,1734347249569076455,336
265,1734347250797213455,1734347251121048455,324
266,1734347251501050455,1734347251701066455,200
267,1734347251705081455,1734347252041081455,336
268,1734347252109062455,1734347252401401455,292
269,1734347252533075455,1734347252865121455,332
270,1734347253105050455,1734347253433054455,328
271,1734347256933027455,1734347257249051455,316
272,1734347257377074455,1734347257701125455,324
273,1734347258445105455,1734347258753042455,308
274,1734347258825040455,1734347259113078455,288
275,1734347259121149455,1734347259437155455,316
276,1734347259549049455,1734347259949070455,400
277,1734347260381062455,1734347260725088455,344
278,1734347260745067455,1734347261093148455,348
279,1734347262421363455,1734347262781054455,360
280,1734347263725115455,1734347264101047455,376
281,1734347264621067455,1734347265009125455,388
282,1734347265089039455,1734347265489041455,400
283,1734347266173125455,1734347266485064455,312
284,1734347266733058455,1734347267097063455,364
285,1734347267189065455,1734347267489101455,300
286,1734347267497083455,1734347267913054455,416
287,1734347267917052455,1734347268305215455,388
288,1734347268353058455,1734347268729333455,376
289,1734347268857080455,1734347269201408455,344
290,1734347271221087455,1734347271653058455,432
291,1734347271973072455,1734347272489129455,516
292,1734347273349057455,1734347273749068455,400
293,1734347274001152455,1734347274461729455,461
294,1734347275833118455,1734347276217076455,384
295,1734347278305296455,1734347278661068455,356
296,1734347278869184455,1734347279261710455,393
297,1734347280177155455,1734347280577046455,400
298,1734347281177091455,1734347281569080455,392
299,1734347284053077455,1734347284253156455,200
300,1734347284257141455,1734347284669129455,412
301,1734347288965072455,1734347289333077455,368
302,1734347293481086455,1734347293821161455,340
303,1734347296589248455,1734347296869076455,280
304,1734347296873060455,1734347297261202455,388
305,1734347302781097455,1734347303149112455,368
306,1734347305241131455,1734347305581156455,340
307,1734347309249050455,1734347309545167455,296
308,1734347309557076455,1734347309941248455,384
309,1734347315633055455,1734347315981084455,348
310,1734347316261141455,1734347316657056455,396
311,1734347316709186455,1734347317077154455,368
312,1734347317117359455,1734347317505077455,388
313,1734347319973078455,1734347320313344455,340
314,1734347320525063455,1734347320925148455,400
315,1734347321005172455,1734347321421474455,416
316,1734347323525102455,1734347323889030455,364
317,1734347330213083455,1734347330449072455,236
318,1734347330453048455,1734347330909087455,456
319,1734347331525041455,1734347331877150455,352
320,1734347334165060455,1734347334553072455,388
321,1734347338017031455,1734347338513050455,496
322,1734347344853084455,1734347345217192455,364
323,1734347345697153455,1734347346089049455,392
324,1734347351913056455,1734347352221253455,308
325,1734347356733097455,1734347357133062455,400
326,1734347357173192455,1734347357589093455,416
327,1734347357853080455,1734347358269074455,416
328,1734347359425111455,1734347359773185455,348
329,1734347361625149455,1734347361889081455,264
330,1734347366933089455,1734347367241062455,308
331,1734347370925052455,1734347371233097455,308
332,1734347371285218455,1734347371789113455,504
333,1734347371793069455,1734347372153082455,360
334,1734347372377063455,1734347372737046455,360
335,1734347373225130455,1734347373561253455,336
336,1734347374625061455,1734347374997175455,372
337,1734347376033063455,1734347376389136455,356
338,1734347377181641455,1734347377581158455,400
339,1734347379741169455,1734347380077061455,336
340,1734347380429083455,1734347380781134455,352
341,1734347380785119455,1734347381089227455,304
342,1734347382505058455,1734347382877089455,372
343,1734347383273046455,1734347383813062455,540
344,1734347384185092455,1734347384553078455,368
345,1734347386045076455,1734347386373039455,328
346,1734347387301058455,1734347387689148455,388
347,1734347388533201455,1734347388973063455,440
348,1734347393005068455,1734347393297048455,292
349,1734347393325101455,1734347393705066455,380
350,1734347402161051455,1734347402473103455,312
351,1734347402705128455,1734347403093086455,388
352,1734347404029095455,1734347404421093455,392
353,1734347404641427455,1734347405077082455,436
354,1734347407125073455,1734347407413060455,288
355,1734347409137084455,1734347409521091455,384
356,1734347410817053455,1734347411161077455,344
357,1734347411809045455,1734347412201136455,392
358,1734347412409212455,1734347412765056455,356
359,1734347413061178455,1734347413433161455,372
360,1734347415385058455,1734347415741219455,356
361,1734347418809056455,1734347419165096455,356
362,1734347423297173455,1734347423645057455,348
363,1734347423649073455,1734347424021121455,372
364,1734347425257122455,1734347425629063455,372
365,1734347426285047455,1734347426721070455,436
366,1734347427857215455,1734347428257065455,400
367,1734347430773055455,1734347431117129455,344
368,1734347434765098455,1734347435097050455,332
369,1734347437109122455,1734347437489095455,380
370,1734347438361071455,1734347438705135455,344
371,1734347438965117455,1734347439297150455,332
372,1734347439301236455,1734347439633202455,332
373,1734347440477051455,1734347440809044455,332
374,1734347441709050455,1734347442109542455,400
375,1734347442729118455,1734347443173094455,444
376,1734347443497052455,1734347443877078455,380
377,1734347448113100455,1734347448485165455,372
378,1734347449733066455,1734347450109097455,376
379,1734347452149057455,1734347452509073455,360
380,1734347454285108455,1734347454621559455,336
381,1734347455922521455,1734347456305063455,383
382,1734347456693060455,1734347457045078455,352
383,1734347457205060455,1734347457545067455,340
384,1734347457573205455,1734347457981071455,408
385,1734347459213044455,1734347459701245455,488
386,1734347462553141455,1734347462881140455,328
387,1734347465021113455,1734347465405280455,384
388,1734347466197098455,1734347466553051455,356
