saccade id,start timestamp [ns],end timestamp [ns],duration [ms],amplitude [px],amplitude [deg],mean velocity [px/s],peak velocity [px/s]
1,1734346732325059455,1734346732589156455,264,709.613322901981,53.6036819252873,3278.104522033017,7805.941496411842
2,1734346732829159455,1734346732865271455,36,57.91315231344552,4.158800928919468,1785.9645409696,2246.6918683272206
3,1734346733221170455,1734346733285140455,64,132.08748721523395,9.683078515459238,2329.199185338766,4083.792653955583
4,1734346733397080455,1734346733425083455,28,44.14455844698117,3.293830238318511,1522.4920902476322,1828.546796365139
5,1734346733621172455,1734346733645141455,24,29.406412110894127,2.209798905672682,1355.3201874706106,1733.444205465214
6,1734346733821141455,1734346733881119455,60,155.23924652110722,11.543452554981426,2742.011753080889,4249.107671879742
7,1734346734117128455,1734346734149128455,32,67.19226508708901,4.9907797958145546,2066.302579610715,2850.1393867867546
8,1734346734369071455,1734346734397740455,29,46.34688136125755,3.4480461392929707,1749.8735149330278,2252.062517811612
9,1734346734549084455,1734346734581141455,32,60.68450258991419,4.518421045534653,2109.478585838573,2596.1022333445308
10,1734346734769061455,1734346734797160455,28,41.59511115774279,3.091703383280132,1429.7223266702968,1796.052361866316
11,1734346734977107455,1734346735017134455,40,62.8778098592407,4.680633640480015,1723.2152193829909,2315.642615666522
12,1734346735217150455,1734346735429239455,212,147.16904322656674,10.957966221619836,3487.506740291272,6889.273510180465
13,1734346735517142455,1734346735765151455,248,59.489743851436,4.403569358017996,3874.01218826764,10349.096432991695
14,1734346735985147455,1734346736041114455,56,102.59735821438454,7.742233041773323,2024.5487458159205,3105.723457213181
15,1734346736329205455,1734346736545200455,216,643.1806985872322,48.35747201368319,3587.0363963099776,7445.030912642021
16,1734346736797060455,1734346737001142455,204,61.88023294321767,4.555850067312788,1731.3281307874213,4394.084918923682
17,1734346737105093455,1734346737177098455,72,112.1841746322104,8.263337566815755,1719.3820523716329,2240.178550840163
18,1734346737265099455,1734346737285476455,20,23.71315009801081,1.7724800998399262,1240.5768181978185,1379.7592491905275
19,1734346737361208455,1734346737477314455,116,643.428124016412,48.52345604293431,5875.713181885179,8962.442598881727
20,1734346737765122455,1734346737801109455,36,66.74145429634042,4.868125789459416,1987.4799225590143,2728.257150629471
21,1734346737949089455,1734346738169074455,220,99.65008302812925,7.407230308783658,3601.1395313982607,8522.07726446874
22,1734346738257372455,1734346738481152455,224,47.85494597134987,3.5855203264070603,4312.347121331685,8431.699891939179
23,1734346738581121455,1734346738617116455,36,83.61502750324426,6.202634330623098,2629.4352568827367,3629.2658702046697
24,1734346738877183455,1734346739049111455,172,115.2692949087891,8.587704732256471,4691.997205549238,9943.760727574288
25,1734346739125297455,1734346739197108455,72,100.6060762821362,7.466390719830427,2080.003933641781,4316.4102452289935
26,1734346739469172455,1734346739713099455,244,64.40891652874647,4.799777887641308,2563.4174644016707,5604.838803678375
27,1734346739845080455,1734346739885337455,40,135.17565741240242,10.038194500004776,3516.917298344467,4986.078806848154
28,1734346740093051455,1734346740133180455,40,113.1682286691894,8.394373940238339,2999.6840575297138,4249.843440614116
29,1734346740689077455,1734346740885168455,196,41.7019538979685,3.1328991489790607,3425.850930311106,6005.157572590383
30,1734346741597118455,1734346741849106455,252,8.99470774102572,0.6718441495063908,3121.20331317859,8740.39458168866
31,1734346742317063455,1734346742509127455,192,32.741776116498045,2.4584374538613263,3864.7847607679632,7028.217642074974
32,1734346743017161455,1734346743257131455,240,39.072136641696346,2.9227269189021974,3781.185562228574,9428.842817349609
33,1734346743845081455,1734346743909100455,64,223.9278636499882,16.625648536136787,3566.110640390232,5506.662436619597
34,1734346744089068455,1734346744129101455,40,69.76554126070992,5.187522947962964,2066.265147957026,2667.5270122055267
35,1734346744477142455,1734346744497106455,20,21.58983387242115,1.6030441304402203,1260.8331429898744,1419.4498159000898
36,1734346744725058455,1734346745125229455,400,215.7277006175749,16.038134082810583,2538.65240413266,6829.367194355746
37,1734346746497127455,1734346746717111455,220,36.19620496408029,2.6907718069310613,3275.337643392025,8562.426156578123
38,1734346746969540455,1734346746997136455,28,26.451129521478485,1.957585873457533,1152.861313208561,1363.7491970815622
39,1734346749185230455,1734346749285127455,100,44.0430819357539,3.262046114284182,1461.645979720927,2696.432621828558
40,1734346749569101455,1734346749637154455,68,214.0281870182852,15.849704114370446,3426.6371259009447,4960.694775208111
41,1734346749841355455,1734346749877181455,36,55.18209797073116,4.095984571447634,1758.9494309604293,2158.9391315336334
